date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:45:14	45404/45404	---M--	200	added ('OK')	application/x-font-ttf	date:Fri,%2016%20Jun%202017%2020:36:26%20GMT	http://wordpressboss.com/cp/tonson-demo/assets/bootstrap/fonts/glyphicons-halflings-regular.ttf	C:/My%20Web%20Sites/template/wordpressboss.com/cp/tonson-demo/assets/bootstrap/fonts/glyphicons-halflings-regular.ttf	(from http://wordpressboss.com/cp/tonson-demo/assets/bootstrap/css/bootstrap.min.css)
01:45:14	21780/21780	---M--	200	added ('OK')	text/plain	date:Fri,%2016%20Jun%202017%2020:35:54%20GMT	http://wordpressboss.com/cp/tonson-demo/assets/fonts/Linearicons-Free.woff2?w118d	C:/My%20Web%20Sites/template/wordpressboss.com/cp/tonson-demo/assets/fonts/Linearicons-Free54e9.woff2	(from http://wordpressboss.com/cp/tonson-demo/assets/fonts/linear-fonts.css)
01:45:16	55820/55820	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2016%20Jun%202017%2020:35:50%20GMT	http://wordpressboss.com/cp/tonson-demo/assets/fonts/Linearicons-Free.eot?w118d	C:/My%20Web%20Sites/template/wordpressboss.com/cp/tonson-demo/assets/fonts/Linearicons-Free54e9.eot	(from http://wordpressboss.com/cp/tonson-demo/assets/fonts/linear-fonts.css)
01:45:17	55820/55820	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2016%20Jun%202017%2020:35:50%20GMT	http://wordpressboss.com/cp/tonson-demo/assets/fonts/Linearicons-Free.eot?	C:/My%20Web%20Sites/template/wordpressboss.com/cp/tonson-demo/assets/fonts/Linearicons-Freed41d.eot	(from http://wordpressboss.com/cp/tonson-demo/assets/fonts/linear-fonts.css)
01:45:20	205847/205847	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2016%20Jun%202017%2020:35:52%20GMT	http://wordpressboss.com/cp/tonson-demo/assets/fonts/Linearicons-Free.svg?w118d	C:/My%20Web%20Sites/template/wordpressboss.com/cp/tonson-demo/assets/fonts/Linearicons-Free54e9.svg	(from http://wordpressboss.com/cp/tonson-demo/assets/fonts/linear-fonts.css)
01:45:25	55696/55696	---M--	200	added ('OK')	application/x-font-woff	date:Fri,%2016%20Jun%202017%2020:35:54%20GMT	http://wordpressboss.com/cp/tonson-demo/assets/fonts/Linearicons-Free.woff?w118d	C:/My%20Web%20Sites/template/wordpressboss.com/cp/tonson-demo/assets/fonts/Linearicons-Free54e9.woff	(from http://wordpressboss.com/cp/tonson-demo/assets/fonts/linear-fonts.css)
01:45:25	55620/55620	---M--	200	added ('OK')	application/x-font-ttf	date:Fri,%2016%20Jun%202017%2020:35:53%20GMT	http://wordpressboss.com/cp/tonson-demo/assets/fonts/Linearicons-Free.ttf?w118d	C:/My%20Web%20Sites/template/wordpressboss.com/cp/tonson-demo/assets/fonts/Linearicons-Free54e9.ttf	(from http://wordpressboss.com/cp/tonson-demo/assets/fonts/linear-fonts.css)
01:45:38	77160/77160	---M--	200	added ('OK')	text/plain	date:Fri,%2016%20Jun%202017%2020:35:46%20GMT	http://wordpressboss.com/cp/tonson-demo/assets/fonts/fontawesome-webfont.woff2?v=4.5.0	C:/My%20Web%20Sites/template/wordpressboss.com/cp/tonson-demo/assets/fonts/fontawesome-webfont3295.woff2	(from http://wordpressboss.com/cp/tonson-demo/assets/fonts/font-awesome.css)
01:45:42	98024/98024	---M--	200	added ('OK')	application/x-font-woff	date:Fri,%2016%20Jun%202017%2020:35:46%20GMT	http://wordpressboss.com/cp/tonson-demo/assets/fonts/fontawesome-webfont.woff?v=4.5.0	C:/My%20Web%20Sites/template/wordpressboss.com/cp/tonson-demo/assets/fonts/fontawesome-webfont3295.woff	(from http://wordpressboss.com/cp/tonson-demo/assets/fonts/font-awesome.css)
01:45:48	444379/444379	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2016%20Jun%202017%2020:35:44%20GMT	http://wordpressboss.com/cp/tonson-demo/assets/fonts/fontawesome-webfont.svg?v=4.5.0	C:/My%20Web%20Sites/template/wordpressboss.com/cp/tonson-demo/assets/fonts/fontawesome-webfont3295.svg	(from http://wordpressboss.com/cp/tonson-demo/assets/fonts/font-awesome.css)
01:45:48	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2016%20Jun%202017%2020:35:40%20GMT	http://wordpressboss.com/cp/tonson-demo/assets/fonts/fontawesome-webfont.eot?v=4.5.0	C:/My%20Web%20Sites/template/wordpressboss.com/cp/tonson-demo/assets/fonts/fontawesome-webfont3295.eot	(from http://wordpressboss.com/cp/tonson-demo/assets/fonts/font-awesome.css)
01:45:49	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2016%20Jun%202017%2020:35:40%20GMT	http://wordpressboss.com/cp/tonson-demo/assets/fonts/fontawesome-webfont.eot?	C:/My%20Web%20Sites/template/wordpressboss.com/cp/tonson-demo/assets/fonts/fontawesome-webfontd41d.eot	(from http://wordpressboss.com/cp/tonson-demo/assets/fonts/font-awesome.css)
01:45:50	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Thu,%2003%20Aug%202017%2020:15:48%20GMT	http://wordpressboss.com/cp/tonson-demo/assets/owlcarousel/css/grabbing.png	C:/My%20Web%20Sites/template/wordpressboss.com/cp/tonson-demo/assets/owlcarousel/css/grabbing.2d.delayed	(from http://wordpressboss.com/cp/tonson-demo/assets/owlcarousel/css/owl.carousel.css)
01:45:52	73409/73409	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2003%20Aug%202017%2020:15:50%20GMT	http://www.wordpressboss.com/cp/tonson-demo/assets/owlcarousel/css/grabbing.png	C:/My%20Web%20Sites/template/www.wordpressboss.com/cp/tonson-demo/assets/owlcarousel/css/grabbing.2e.delayed	(from http://wordpressboss.com/cp/tonson-demo/assets/owlcarousel/css/owl.carousel.css)
01:45:53	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Thu,%2003%20Aug%202017%2020:15:52%20GMT	http://wordpressboss.com/cp/tonson-demo/assets/owlcarousel/css/AjaxLoader.gif	C:/My%20Web%20Sites/template/wordpressboss.com/cp/tonson-demo/assets/owlcarousel/css/AjaxLoader.2f.delayed	(from http://wordpressboss.com/cp/tonson-demo/assets/owlcarousel/css/owl.theme.css)
01:45:55	73413/73413	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2003%20Aug%202017%2020:15:53%20GMT	http://www.wordpressboss.com/cp/tonson-demo/assets/owlcarousel/css/AjaxLoader.gif	C:/My%20Web%20Sites/template/www.wordpressboss.com/cp/tonson-demo/assets/owlcarousel/css/AjaxLoader.30.delayed	(from http://wordpressboss.com/cp/tonson-demo/assets/owlcarousel/css/owl.theme.css)
01:45:55	165548/165548	---M--	200	added ('OK')	application/x-font-ttf	date:Fri,%2016%20Jun%202017%2020:35:44%20GMT	http://wordpressboss.com/cp/tonson-demo/assets/fonts/fontawesome-webfont.ttf?v=4.5.0	C:/My%20Web%20Sites/template/wordpressboss.com/cp/tonson-demo/assets/fonts/fontawesome-webfont3295.ttf	(from http://wordpressboss.com/cp/tonson-demo/assets/fonts/font-awesome.css)
01:45:59	79440/79440	---M--	200	added ('OK')	image/jpeg	date:Fri,%2016%20Jun%202017%2020:36:38%20GMT	http://wordpressboss.com/cp/tonson-demo/assets/images/bg/bg.jpg	C:/My%20Web%20Sites/template/wordpressboss.com/cp/tonson-demo/assets/images/bg/bg.jpg	(from http://wordpressboss.com/cp/tonson-demo/assets/css/style.css)
